region,index,x,y,w,h,centre_x,centre_y,pixels
WINDOW,1,203,111,325,620,365,420,189644
WINDOW,2,614,111,325,620,776,420,189642
WINDOW,3,1382,0,334,733,1548,366,233106
WINDOW,4,1794,0,334,720,1960,360,231817
WINDOW,5,2557,114,332,617,2722,422,192353
WINDOW,6,2972,114,332,618,3138,422,192685
WINDOW,7,3700,114,332,623,3866,425,194348
WINDOW,8,4059,114,332,623,4224,425,194179
WINDOW,9,4738,0,336,733,4906,366,232318
WINDOW,10,5104,0,334,733,5270,366,233161
WINDOW,11,5785,116,332,618,5950,424,192484
WINDOW,12,6143,118,332,616,6308,426,191868
WINDOW,13,6872,110,330,619,7036,419,191875
WINDOW,14,7227,109,331,620,7392,418,192733
WINDOW,15,7930,0,334,729,8096,364,232919
WINDOW,16,8289,0,334,729,8456,364,232918
WINDOW,17,8991,111,335,618,9158,420,194151
WINDOW,18,9349,109,332,616,9514,416,192104
WINDOW,19,823,1074,51,1112,848,1630,55633
WINDOW,20,2618,1031,600,1149,2918,1605,674412
WINDOW,21,3760,1029,596,1146,4058,1602,673756
WINDOW,22,5838,1035,598,1123,6136,1596,655951
WINDOW,23,6936,1037,602,1148,7236,1610,675884
WINDOW,24,9038,1040,570,1148,9322,1614,644556
WINDOW,25,1481,1808,556,744,1758,2180,28062
WINDOW,26,5447,1800,6,738,5450,2168,4413
WINDOW,27,8015,1809,589,727,8309,2172,32803
DOOR,1,1503,1817,524,735,1764,2184,385140
DOOR,2,4696,1798,754,753,5072,2174,563381
DOOR,3,8016,1818,561,732,8296,2184,402644
COLUMN,1,3266,1112,478,1186,3504,1704,529160
COLUMN,2,6427,1114,476,1156,6664,1692,528937
TRIM,1,3231,941,552,171,3506,1026,83235
TRIM,2,6398,946,531,168,6663,1030,78908
TRIM,3,3262,2268,490,284,3506,2410,131975
TRIM,4,6419,2270,491,282,6664,2410,138462
BASE,1,5450,1898,986,654,5942,2224,486547
BASE,2,823,2309,665,243,1155,2430,159963
BASE,3,2037,2307,1225,245,2649,2429,300125
BASE,4,3752,2272,889,280,4196,2412,248920
BASE,5,6910,2275,1106,277,7462,2413,306100
BASE,6,8593,2282,1015,270,9100,2416,270175
