frame,t,t_local,mean,mean_norm,std,p05,p95,motion
4800,160.0000,0.0000,0.069156,0.081780,0.074941,0.007843,0.207843,0.000000
4801,160.0333,0.0333,0.069581,0.091501,0.075514,0.007843,0.211765,0.001439
4802,160.0667,0.0667,0.069601,0.091950,0.075617,0.007843,0.211765,0.000384
4803,160.1000,0.1000,0.069360,0.086451,0.075687,0.007843,0.211765,0.001230
4804,160.1333,0.1333,0.069365,0.086565,0.075784,0.007843,0.211765,0.001399
4805,160.1667,0.1667,0.069652,0.093129,0.076137,0.007843,0.211765,0.001176
4806,160.2000,0.2000,0.069416,0.087728,0.076135,0.007843,0.211765,0.001006
4807,160.2333,0.2333,0.069466,0.088872,0.076319,0.007843,0.211765,0.000437
4808,160.2667,0.2667,0.069458,0.088696,0.076392,0.007843,0.211765,0.001165
4809,160.3000,0.3000,0.069724,0.094771,0.076647,0.007843,0.211765,0.001547
4810,160.3333,0.3333,0.069427,0.087983,0.076565,0.007843,0.211765,0.001206
4811,160.3667,0.3667,0.069487,0.089348,0.076711,0.007843,0.211765,0.000511
4812,160.4000,0.4000,0.069613,0.092240,0.076901,0.007843,0.211765,0.001463
4813,160.4333,0.4333,0.069615,0.092275,0.076818,0.007843,0.211765,0.001611
4814,160.4667,0.4667,0.069315,0.085412,0.076742,0.007843,0.211765,0.001307
4815,160.5000,0.5000,0.069382,0.086949,0.076922,0.007843,0.211765,0.000556
4816,160.5333,0.5333,0.069295,0.084950,0.076836,0.007843,0.207843,0.001379
4817,160.5667,0.5667,0.069371,0.086689,0.076727,0.007843,0.207843,0.001746
4818,160.6000,0.6000,0.069292,0.084893,0.076672,0.007843,0.207843,0.001253
4819,160.6333,0.6333,0.069452,0.088551,0.076894,0.007843,0.207843,0.000820
4820,160.6667,0.6667,0.069410,0.087591,0.076757,0.007843,0.207843,0.001361
4821,160.7000,0.7000,0.068963,0.077343,0.076130,0.007843,0.203922,0.002739
4822,160.7333,0.7333,0.069143,0.081464,0.076307,0.007843,0.203922,0.000629
4823,160.7667,0.7667,0.069329,0.085720,0.076442,0.007843,0.203922,0.000619
4824,160.8000,0.8000,0.069067,0.079733,0.076101,0.007843,0.203922,0.002171
4825,160.8333,0.8333,0.069279,0.084589,0.076083,0.007843,0.207843,0.002001
4826,160.8667,0.8667,0.069359,0.086412,0.076140,0.007843,0.207843,0.000392
4827,160.9000,0.9000,0.069513,0.089942,0.076287,0.007843,0.207843,0.000932
4828,160.9333,0.9333,0.069444,0.088375,0.076201,0.007843,0.207843,0.001478
4829,160.9667,0.9667,0.069493,0.089475,0.076104,0.007843,0.207843,0.000948
4830,161.0000,1.0000,0.065585,0.000000,0.073700,0.007843,0.207843,0.009294
4831,161.0333,1.0333,0.066433,0.019405,0.074348,0.007843,0.211765,0.001400
4832,161.0667,1.0667,0.066581,0.022804,0.074476,0.007843,0.211765,0.000340
4833,161.1000,1.1000,0.067055,0.033646,0.074860,0.007843,0.215686,0.000973
4834,161.1333,1.1333,0.067338,0.040135,0.075151,0.007843,0.215686,0.001095
4835,161.1667,1.1667,0.068362,0.063586,0.076044,0.007843,0.223529,0.001573
4836,161.2000,1.2000,0.068731,0.072029,0.076412,0.007843,0.227451,0.000939
4837,161.2333,1.2333,0.068970,0.077514,0.076721,0.007843,0.227451,0.000434
4838,161.2667,1.2667,0.069332,0.085795,0.077074,0.007843,0.231373,0.001287
4839,161.3000,1.3000,0.070381,0.109827,0.078027,0.007843,0.235294,0.001735
4840,161.3333,1.3333,0.070767,0.118662,0.078329,0.007843,0.239216,0.001040
4841,161.3667,1.3667,0.071185,0.128228,0.078800,0.007843,0.239216,0.000818
4842,161.4000,1.4000,0.071751,0.141206,0.079306,0.007843,0.243137,0.001326
4843,161.4333,1.4333,0.072371,0.155399,0.079812,0.007843,0.247059,0.002463
4844,161.4667,1.4667,0.072826,0.165814,0.080071,0.007843,0.247059,0.000789
4845,161.5000,1.5000,0.073213,0.174677,0.080399,0.007843,0.250980,0.000799
4846,161.5333,1.5333,0.073958,0.191748,0.081096,0.007843,0.254902,0.002135
4847,161.5667,1.5667,0.074901,0.213328,0.081863,0.007843,0.250980,0.002730
4848,161.6000,1.6000,0.075233,0.220927,0.082109,0.007843,0.250980,0.000668
4849,161.6333,1.6333,0.076176,0.242524,0.082904,0.007843,0.254902,0.001530
4850,161.6667,1.6667,0.076844,0.257826,0.083609,0.007843,0.254902,0.002109
4851,161.7000,1.7000,0.078068,0.285864,0.084701,0.007843,0.258824,0.002445
4852,161.7333,1.7333,0.078880,0.304455,0.085251,0.007843,0.262745,0.001386
4853,161.7667,1.7667,0.079596,0.320849,0.086008,0.007843,0.270588,0.001258
4854,161.8000,1.8000,0.080240,0.335601,0.086597,0.007843,0.274510,0.001762
4855,161.8333,1.8333,0.081353,0.361085,0.087802,0.007843,0.278431,0.003562
4856,161.8667,1.8667,0.081874,0.373011,0.088235,0.007843,0.282353,0.001032
4857,161.9000,1.9000,0.082757,0.393230,0.088963,0.007843,0.286275,0.001558
4858,161.9333,1.9333,0.083601,0.412565,0.089797,0.007843,0.290196,0.002345
4859,161.9667,1.9667,0.084187,0.425996,0.090346,0.007843,0.290196,0.002100
4860,162.0000,2.0000,0.085014,0.444926,0.093486,0.007843,0.305882,0.009415
4861,162.0333,2.0333,0.086181,0.471647,0.094352,0.007843,0.305882,0.001391
4862,162.0667,2.0667,0.086948,0.489221,0.095075,0.007843,0.309804,0.001040
4863,162.1000,2.1000,0.087769,0.508005,0.095934,0.007843,0.309804,0.001101
