region,index,x,y,w,h,centre_x,centre_y,pixels
WINDOW,1,199,110,325,620,361,420,189644
WINDOW,2,613,114,325,620,775,424,189642
WINDOW,3,1380,0,334,733,1546,366,233106
WINDOW,4,1790,0,334,721,1956,360,231953
WINDOW,5,2557,114,332,617,2722,422,192353
WINDOW,6,2971,112,332,618,3136,420,192685
WINDOW,7,3703,110,332,623,3868,421,194348
WINDOW,8,4062,110,332,623,4228,421,194179
WINDOW,9,4727,0,336,732,4894,366,232306
WINDOW,10,5107,0,334,734,5274,366,233208
WINDOW,11,5784,112,332,618,5950,420,192484
WINDOW,12,6142,114,332,616,6308,422,191868
WINDOW,13,6871,111,330,619,7036,420,191875
WINDOW,14,7228,110,331,620,7393,420,192733
WINDOW,15,7924,0,334,731,8090,365,233119
WINDOW,16,8284,0,334,731,8450,365,233118
WINDOW,17,8991,111,335,618,9158,420,194151
WINDOW,18,9347,114,332,616,9512,422,192104
WINDOW,19,823,1074,51,1112,848,1630,55633
WINDOW,20,2614,1028,600,1149,2914,1602,674412
WINDOW,21,3760,1029,596,1146,4058,1602,673756
WINDOW,22,5838,1035,598,1123,6136,1596,655951
WINDOW,23,6944,1034,602,1148,7244,1608,675884
WINDOW,24,9038,1030,570,1148,9322,1604,644556
WINDOW,25,1479,1798,556,754,1756,2174,28382
WINDOW,26,5445,1795,6,738,5448,2164,4413
WINDOW,27,8018,1805,589,727,8312,2168,32803
WINDOW,28,4733,2546,672,6,5068,2548,4032
DOOR,1,1501,1807,524,745,1762,2179,390380
DOOR,2,4694,1793,754,753,5070,2169,563381
DOOR,3,8019,1814,561,732,8299,2180,402644
COLUMN,1,3267,1112,478,1186,3506,1704,529160
COLUMN,2,6429,1114,476,1156,6666,1692,528937
TRIM,1,3232,941,552,171,3508,1026,83235
TRIM,2,6400,946,531,168,6665,1030,78908
TRIM,3,3263,2268,490,284,3508,2410,131975
TRIM,4,6421,2270,491,282,6666,2410,138462
BASE,1,5446,1855,992,697,5942,2203,489242
BASE,2,823,2309,665,243,1155,2430,159443
BASE,3,2035,2307,1228,245,2648,2429,300860
BASE,4,3753,2272,888,280,4196,2412,248640
BASE,5,6912,2275,1107,277,7465,2413,306362
BASE,6,8593,2282,1015,270,9100,2416,269467
