region,index,x,y,w,h,centre_x,centre_y,pixels
WINDOW,1,196,111,352,641,372,431,192661
WINDOW,2,613,113,347,639,786,432,189560
WINDOW,3,1377,6,359,748,1556,380,231357
WINDOW,4,1787,0,362,741,1968,370,234561
WINDOW,5,2556,112,353,640,2732,432,191508
WINDOW,6,2968,109,357,644,3146,430,193440
WINDOW,7,3701,113,337,645,3869,435,185127
WINDOW,8,4053,113,359,645,4232,435,191526
WINDOW,9,4725,17,356,737,4902,385,229120
WINDOW,10,5098,5,361,749,5278,379,229095
WINDOW,11,5768,115,355,640,5945,434,186583
WINDOW,12,6143,114,353,641,6319,434,191358
WINDOW,13,6863,110,345,640,7035,430,186763
WINDOW,14,7222,109,357,641,7400,429,191675
WINDOW,15,7912,0,358,750,8090,374,229135
WINDOW,16,8284,0,360,750,8464,374,235101
WINDOW,17,8970,110,361,640,9150,430,187530
WINDOW,18,9345,109,350,637,9520,427,191431
WINDOW,19,802,1065,93,1142,848,1636,80369
WINDOW,20,2600,1029,621,1172,2910,1614,672059
WINDOW,21,3754,1029,604,1159,4056,1608,658606
WINDOW,22,5817,1031,629,1148,6131,1604,663055
WINDOW,23,6927,1037,631,1164,7242,1618,664829
WINDOW,24,9017,1037,614,1172,9324,1622,646662
WINDOW,25,1464,1788,576,764,1752,2170,71871
WINDOW,26,5426,1797,49,747,5450,2170,9426
WINDOW,27,7995,1789,616,748,8302,2162,50021
WINDOW,28,8054,2517,474,35,8290,2534,11692
DOOR,1,1501,1817,529,735,1765,2184,363073
DOOR,2,4683,1784,771,768,5068,2168,562508
DOOR,3,7995,1818,583,732,8286,2184,375380
COLUMN,1,3255,1106,491,1201,3500,1706,520001
COLUMN,2,6406,1107,500,1182,6656,1698,520035
TRIM,1,3210,941,594,176,3506,1028,82395
TRIM,2,6379,926,571,191,6664,1021,79186
TRIM,3,3259,2264,498,288,3508,2408,131106
TRIM,4,6398,2263,516,289,6656,2407,136854
BASE,1,5452,1892,991,660,5947,2222,481389
BASE,2,802,2308,686,244,1144,2430,156815
BASE,3,2037,2306,1229,246,2651,2428,300032
BASE,4,3749,2252,905,300,4201,2402,248147
BASE,5,6892,2264,1144,288,7464,2408,307222
BASE,6,8597,2280,1032,272,9112,2416,271256
BASE,7,9764,2281,24,254,9776,2408,5826
